,Senate District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
24,30,0.2489236628226766,0.23092340448464557,0.08176441453502148,0.07492102298438595,0.07231236329208972,0.08369645388586931
25,31,0.18538390884468844,0.16884946219853858,0.059462052595179817,0.05122801962797613,0.08919030108488082,0.1384754243729414
26,32,0.22443486714775182,0.2077480679506581,0.065762648692583,0.05697524821389279,0.07435029774633163,0.13362297068915485
27,33,0.22584133578757493,0.20404507568023011,0.06847783700425265,0.06171220945875717,0.09651138500104449,0.09880025189865915
28,34,0.24883083955976412,0.22798839867084109,0.06791003207652267,0.062323723181530066,0.08376148601916807,0.08226043670098429
29,35,0.2460963498877487,0.21970138088356747,0.06672685882581285,0.06174489682859615,0.10725461396002298,0.07466201893636058
30,36,0.17351988985226807,0.15624239029456946,0.05146886492083295,0.04543398088866344,0.09957071533648612,0.11725310129632914
31,37,0.17263709280223893,0.15688289643457662,0.06850150512703343,0.06534722827256223,0.09125614960227132,0.04604682552042781
32,38,0.20363240142327066,0.1901014055881056,0.07064913135340012,0.06417717776695236,0.06644814744898832,0.09160698033318819
33,39,0.1808353700869816,0.1635800093810834,0.07613259570041778,0.0702657730604124,0.09542027479247223,0.07706058864840702
34,4,0.1994893419938021,0.1824660775755656,0.07054453551348945,0.06627041983221617,0.0853342050662807,0.06058748066256657
35,40,0.24804211907371512,0.22725051697235074,0.07696881428409452,0.06640462602517101,0.08382286919257197,0.13725283879170505
36,41,0.12892895796837867,0.1221449851042701,0.05359673298148913,0.0522243174185198,0.05261791432280412,0.025606328718642633
37,42,0.1524162265410474,0.13358174836688386,0.05364530596560709,0.05096388211832484,0.12357265759424373,0.04998431454564467
38,43,0.17129617654340604,0.16126362154911517,0.06489566512329142,0.04672251394026288,0.05856847010095783,0.28003644231864255
39,45,0.24547438859236836,0.22382219389787303,0.0892886162670278,0.07952839958575639,0.08820551430500025,0.10931087398736669
40,46,0.11792645151041804,0.10329088454105001,0.049117047470281436,0.049117047470281436,0.12410758385344169,0.0
41,47,0.12328409865770536,0.11247184875890041,0.05129842081385272,0.05063012597086126,0.0877019016769132,0.013027590954827086
42,48,0.2307106069949019,0.2093324706229753,0.07629992791447009,0.05491962029164242,0.09266213049493209,0.28021399504851885
43,49,0.16953951930925107,0.1637925745234275,0.08579699582226304,0.0821695971560897,0.03389737572241654,0.04227885407185886
44,5,0.16393493479620186,0.14913515525788215,0.05274320081996274,0.04725784669533098,0.09027837511704428,0.10400116108530927
45,50,0.24822249140071803,0.22888533400654928,0.09041322675159545,0.08268418970125233,0.07790251916757938,0.08548568973849546
46,53,0.18293042768011017,0.17014407102201048,0.07379737687251703,0.07363059830741138,0.06989737475746323,0.0022599524830503744
47,57,0.26198726871400035,0.2371362177713843,0.08866472921265207,0.06010378385933851,0.09485594878178917,0.32212296374146077
48,58,0.23403595784252945,0.20384679358262894,0.09861944868673733,0.08856395445541561,0.12899370053303183,0.10196258816314008
49,6,0.1930637857853831,0.17810690101547713,0.0741236416897457,0.0677214683933388,0.07747120833180286,0.08637154287702214
50,65,0.09242455014419756,0.09242455014419756,0.047174946179779846,0.04606198464600512,0.0,0.02359221629068369
51,67,0.12707599939528758,0.12380767264900043,0.03994701567213067,0.038377642917305575,0.02571946521640613,0.03928635790232465
52,7,0.16595230605730604,0.1544162768271982,0.05630752368687894,0.04950863584860462,0.06951412429378519,0.12074563740508859
53,8,0.20608127461720213,0.1832729874542145,0.06684450871985288,0.05907719323268802,0.11067617475364629,0.11619975426430146
54,9,0.2138365618920432,0.19802629248538373,0.07684780913589573,0.06972886363228611,0.07393623086140616,0.09263693504938637
55,C,0.12892895796837867,0.1221449851042701,0.05359673298148913,0.0522243174185198,0.05261791432280412,0.025606328718642633
56,F,0.2836915277432197,0.2836915277432197,0.18519843244588205,0.1731229783528241,0.0,0.06520278780754046
57,First Essex,0.22700432789133138,0.2126237305566268,0.10767450829155419,0.10767450829155419,0.06334944125641807,0.0
58,First Essex & Middlesex,0.1922295651534509,0.18395727823377483,0.07998382308335708,0.070011121630192,0.043033374772879315,0.1246839806940934
59,First Hampden & Hampshire,0.13926298248968777,0.12188925615319475,0.04589832545687983,0.04589832545687983,0.12475480580619851,0.0
60,First Worcester,0.12892895796837867,0.1221449851042701,0.05359673298148913,0.0522243174185198,0.05261791432280412,0.025606328718642633
61,IV,0.29005869822169095,0.2797981956473833,0.13127967465559034,0.12352670134692051,0.03537388341467902,0.05905692049443
62,N,0.2948504886184095,0.27686816080519633,0.0907016209257417,0.0862016501843291,0.06098795324190765,0.04961290322580644
63,Plymouth & Norfolk,0.20754109575260055,0.17031850465785398,0.06228580243187595,0.05418402044224462,0.17935046049442555,0.13007429740497473
64,Second Hampden & Hampshire,0.22775876960984526,0.19889388085784493,0.06050177099584201,0.04384302749897891,0.12673447789275638,0.2753430721558212
65,VI,0.22700432789133138,0.2126237305566268,0.10767450829155419,0.10767450829155419,0.06334944125641807,0.0
66,Windsor,0.12892895796837867,0.1221449851042701,0.05359673298148913,0.0522243174185198,0.05261791432280412,0.025606328718642633
