Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_change,child_pct_change_deep
53,0.4109222006,0.3801096143,0.1222360177,0.1094803725,0.07498399022,0.1043525912,0.5052659947,0.4213119172,0.1088664906,0.08040748127,0.1661581788,0.261412021
54,0.2542046123,0.2436407891,0.1100351932,0.1032803143,0.04155637904,0.06138834977,0.3117986385,0.28113813,0.07922022518,0.05714762673,0.09833432481,0.2786232732
55,0.158917416,0.1373439333,0.05430991789,0.05323602242,0.1357527911,0.019773469,0.1619270064,0.1181602333,0.04319445626,0.04026326576,0.2702870516,0.0678603402
56,0.2471000895,0.2326337365,0.07358180086,0.05677126938,0.05854450714,0.228460452,0.3004437253,0.2644147504,0.0979229612,0.04280495051,0.1199192123,0.5628711593
57,0.2174373758,0.1956224987,0.05379600092,0.0497939375,0.1003271724,0.07439332572,0.2577339407,0.1996405734,0.03694570987,0.03096919798,0.2254005319,0.1617647059
58,0.2483839791,0.2348917202,0.06587559119,0.05472238249,0.0543201657,0.1693071516,0.312299423,0.2818907596,0.07534582246,0.05309461703,0.09737021944,0.2953210239
59,0.4455050533,0.4185940678,0.1222274931,0.1091346193,0.06040556735,0.1071188938,0.5387055027,0.4862890818,0.1384922156,0.1116147057,0.09730069699,0.194072351
60,0.175021432,0.1573208025,0.04623243852,0.0424706349,0.1011340687,0.0813671902,0.2066391531,0.1702733417,0.04119863628,0.03359052575,0.1759870325,0.1846689895
61,0.2181180768,0.1880626915,0.06955868489,0.05917393354,0.1377941057,0.1492948202,0.2783566122,0.2130899003,0.07887917594,0.05650355365,0.2344715698,0.2836695747
62,0.1903735947,0.1782279936,0.05202231928,0.04554904739,0.06379876981,0.1244325893,0.2608260414,0.2300408663,0.05384461377,0.03868756698,0.11802953,0.281496063
63,0.3265841952,0.2865917894,0.07748658855,0.06974881167,0.1224566478,0.09985956315,0.4014263615,0.315276576,0.09350883173,0.07819642186,0.2146091879,0.1637536218
64,0.3207633633,0.2818782521,0.09108547185,0.08261515492,0.1212267846,0.09299306204,0.4242543835,0.3498477758,0.1214269606,0.1040057507,0.1753820598,0.1434706907
65,0.2003120302,0.1860891272,0.06816630263,0.06655887442,0.07100373853,0.02358097986,0.2656740515,0.2298860884,0.07576708877,0.07028759204,0.1347062795,0.07232027551
66,0.1656633891,0.1542015064,0.04608813413,0.04561151046,0.06918778356,0.01034157013,0.1804189998,0.151216598,0.03560181857,0.03451837301,0.1618587945,0.03043230944
67,0.1640739765,0.1309098965,0.05204141917,0.04220356709,0.2021288243,0.1890388893,0.1754169112,0.1096709595,0.04317922867,0.02401684908,0.3747982522,0.4437869822
68,0.1946777077,0.1836792763,0.06147265896,0.05693466603,0.05649558716,0.07382132154,0.2772189606,0.2539172073,0.07883404316,0.06583594744,0.08405540987,0.1648792222
69,0.3146603993,0.2830880974,0.05805653136,0.05306534485,0.1003377036,0.08597114556,0.4152644597,0.35173565,0.06070205792,0.0500042645,0.1529839798,0.176234444
70,0.2676400747,0.2457796397,0.07965604678,0.066563355,0.08167848179,0.164365322,0.3614538525,0.3057788091,0.09261565165,0.04926043317,0.1540308479,0.46811978
71,0.2119877774,0.2035324019,0.07575599692,0.06634095607,0.03988614659,0.1242811292,0.2617965133,0.2405320951,0.08423146691,0.05744670048,0.08122498634,0.3179900269
72,0.221395979,0.2027160738,0.06434548976,0.06320189977,0.08437328108,0.017772652,0.287678843,0.2403941605,0.067693961,0.06440625484,0.164366215,0.04856720032
73,0.108715216,0.1005804077,0.04569699482,0.03616930917,0.07482676836,0.2084969851,0.1246388825,0.1053061424,0.04294403745,0.01935711935,0.1551100244,0.5492478002
74,0.1794325273,0.1547116605,0.08808984958,0.0842520142,0.1377724944,0.0435672827,0.1763920448,0.1072485496,0.04528879415,0.03524717531,0.3919876051,0.2217241379
75,0.2177598619,0.1914397581,0.06069270791,0.05605649287,0.1208675627,0.07638833717,0.2415942297,0.1813852414,0.03418716479,0.02632698354,0.249215341,0.2299161482
76,0.2089989906,0.1817876658,0.05382802366,0.04358031884,0.1301983549,0.1903786192,0.2890448868,0.2287826821,0.05640499621,0.03006699362,0.2084873577,0.4669444971
77,0.1426586915,0.1338084561,0.0699163951,0.06396169308,0.06203782794,0.08516889368,0.1364133619,0.1142852699,0.06426375358,0.05046221167,0.1622135229,0.2147640177
78,0.1663178741,0.1603615698,0.05548383961,0.05548383961,0.0358127728,0,0.1624169237,0.139329308,0.0376395465,0.0376395465,0.1421503076,0
79,0.1993674586,0.1900682006,0.04933822978,0.03885782807,0.0466438109,0.212419492,0.2598035727,0.2445021707,0.0576115579,0.03455270088,0.05889604164,0.4002470661
80,0.3439691097,0.3150549014,0.1072355801,0.09726815716,0.08406047932,0.09294884151,0.4071582801,0.3424885153,0.1103864369,0.08587981269,0.1588320021,0.2220075666
