,st,upper_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep
466,18.0,035,0.16820954316456066,0.147784199710003,0.06145845267501644,0.0510396145659172,0.0708534827923189,0.1695265281765647
467,18.0,036,0.19930241635887053,0.18331571806120164,0.06806463585157677,0.06566886473043136,0.06767693775607568,0.035198471146891536
468,18.0,037,0.1110361981273606,0.10072650268104763,0.03979474259543624,0.03634566181631599,0.06767693775607585,0.0866717700422016
469,18.0,038,0.17080935935785427,0.14660173330120851,0.060366939631571484,0.054153520376695664,0.06767693775607568,0.10292751782345191
470,18.0,039,0.12598239154885382,0.11296844315944807,0.045240569357684515,0.04044820851220664,0.06767693775607568,0.10593060417936258
471,18.0,040,0.26959641028241144,0.25779800233230243,0.15719464584495263,0.15038026669370785,0.05176672324824943,0.04334994436112074
472,18.0,041,0.10522945796288079,0.09388460996307496,0.04164936932377393,0.036848452812562466,0.05043117343649255,0.11526984895953868
473,18.0,042,0.12197609730286427,0.10709211663720583,0.04809614459592745,0.0441376053688234,0.05043117343649255,0.08230470987562771
474,18.0,043,0.12875579894362266,0.11384970396323506,0.05310250894120425,0.050386865381518285,0.054716275394056484,0.05113964695515162
475,18.0,044,0.1453356166792727,0.13163962172432617,0.06325697335079833,0.05607915531426708,0.04386138125234086,0.11347077889303818
476,18.0,045,0.11993482370298758,0.10692679265013794,0.04504142797972585,0.04269563006295069,0.0660523186682521,0.052080895788451806
477,18.0,046,0.11074180011435994,0.10072277183076178,0.03370580795680566,0.02943628242850728,0.0660523186682521,0.126670321440442
478,18.0,047,0.11570353865549614,0.10748530541399143,0.04011676082524181,0.03402068476241544,0.03974963420582026,0.15195833206430429
479,18.0,048,0.1066137934249393,0.10087106410448919,0.03863188459325676,0.03456040676705947,0.039749634205820096,0.10539164395070617
480,18.0,049,0.13791353230387154,0.13427721215471541,0.049167270706857065,0.045353557445485394,0.06605231866825223,0.07756609644065102
481,18.0,050,0.13758788882034995,0.13394617397009378,0.04906342425620918,0.04525651079225431,0.04293321161612947,0.07759167896792464
482,19.0,001,0.0827710709416164,0.07245723782382511,0.02914499054931036,0.02837840210197382,0.0660523186682521,0.026302580062242658
483,19.0,002,0.08607497971093567,0.07568723085996906,0.03250378965439429,0.03175175331444146,0.05117471756081846,0.023136881820522034
484,19.0,003,0.07655369197578119,0.07145992708662344,0.033606000096361284,0.03114878718608971,0.1089362553787651,0.07311827956989235
485,19.0,004,0.08890242926888307,0.07513819992158269,0.03027804696010337,0.02786039362134916,0.03974963420582026,0.07984839121030139
486,19.0,005,0.09792064182995258,0.09102171586150183,0.04455571249944067,0.042376675896583726,0.04744046102012067,0.048905886150609645
487,19.0,006,0.0998184475545104,0.08847843506898645,0.04498751594404248,0.044087794131785,0.042496881268618336,0.019999366343689606
488,19.0,007,0.0765536919757812,0.07145992708662345,0.03360600009636129,0.031148787186089714,0.044763864499061286,0.07311827956989243
489,19.0,008,0.09503225769628108,0.08359794600950134,0.03824881899351422,0.030661458759424748,0.053128213306617045,0.19836848388380426
490,19.0,009,0.09621489755877465,0.0853973539139268,0.04168129433808397,0.037841449883948566,0.1089362553787652,0.09212392549496622
491,19.0,010,0.08307323152235856,0.07193600028217205,0.032661571054738436,0.02754067335510382,0.0560086041677574,0.1567866313305126
492,19.0,011,0.09549849617987054,0.08346246156562194,0.037576508278451534,0.031022369856195792,0.060506800135375155,0.17442116690800274
493,19.0,012,0.09535695177656968,0.08350359301538521,0.037780613735949806,0.030912801582372005,0.04521496012861522,0.18178138136074787
494,19.0,013,0.10990702972043583,0.09145670860383426,0.041857314903338355,0.03369927631707897,0.044943384519931726,0.1949011446409989
495,19.0,014,0.10283234337004649,0.08696966718595578,0.03859971715094144,0.03277584868874145,0.04415714578618442,0.15087852689246833
496,19.0,015,0.0757945536512209,0.061308617649368666,0.027911730643834527,0.023490768127070082,0.04439293586397601,0.15839084194304515
497,19.0,016,0.12172923969943365,0.1043022802112245,0.04335867182416909,0.03794879132174178,0.03974963420582026,0.12477043864179713
498,19.0,017,0.1283401903695366,0.11036182306336288,0.045759884134149345,0.039991565055942285,0.04419740818945869,0.1260562430904916
