,Senate District Number,child,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
111,C,1,0.14373817137636233,0.11446844612673758,0.03752528878157019,0.03351171441623703,0.2036322360953462,0.10695652173913042
113,F,1,0.17449300509706106,0.17449300509706106,0.060080251599609585,0.01588764776054658,0.0,0.7355595667870036
115,First Essex,1,0.12823159977631524,0.08624768787370414,0.013679184410891727,0.013679184410891727,0.3274069104327407,0.0
117,First Essex & Middlesex,1,0.1417281348788198,0.12442922374429223,0.0639269406392694,0.050535651563048824,0.12205700123915736,0.20947802197802193
119,First Hampden & Hampshire,1,0.13768502003659863,0.0967547659308332,0.03094670033124088,0.03094670033124088,0.2972745625841184,0.0
121,First Worcester,1,0.14373817137636233,0.11446844612673758,0.03752528878157019,0.03351171441623703,0.2036322360953462,0.10695652173913042
123,IV,1,0.3282892485209994,0.2920842908130837,0.09668508287292818,0.06840072361022832,0.11028371434954203,0.2925410872313528
125,N,1,0.4545495014245014,0.3886217948717949,0.1267361111111111,0.11151175213675214,0.14503966310841243,0.12012644889357209
127,Plymouth & Norfolk,1,0.2580630340898649,0.20626206009372416,0.07086740788385555,0.04876872185978131,0.20072992700729922,0.3118314424635332
129,Second Hampden & Hampshire,1,0.2513768526767636,0.20312626548959262,0.05829351259415243,0.02577549202235361,0.19194522754732174,0.5578325807572073
131,VI,1,0.12823159977631524,0.08624768787370414,0.013679184410891727,0.013679184410891727,0.3274069104327407,0.0
133,Windsor,1,0.14373817137636233,0.11446844612673758,0.03752528878157019,0.03351171441623703,0.2036322360953462,0.10695652173913042
