,Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep,child_child,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_change,child_pct_change_deep
31,23,0.1415347306426468,0.12847623996766558,0.0460488480859172,0.044004850164559156,0.09226350744929085,0.044387601564851,1,0.1387711678126154,0.111189266182496,0.032452916454182565,0.028566655529568993,0.19875815751124623,0.11975074505554052
32,24,0.12361904414918547,0.12068614316067694,0.04287897933058315,0.04106226990969447,0.023725316828765112,0.04236829908852149,0,0.12257195008065201,0.12081670770014433,0.048261736989557685,0.047030732659818324,0.014320098353275282,0.02550683847134868
33,24,0.12361904414918547,0.12068614316067694,0.04287897933058315,0.04106226990969447,0.023725316828765112,0.04236829908852149,1,0.12733740833138626,0.12022249187889568,0.023764122430829294,0.019867499755047896,0.05587451908848763,0.16397082143989858
34,25,0.13134113728605326,0.1229326889921356,0.041070365839018574,0.039734515760732135,0.06401991384926538,0.032525886998973984,0,0.12572277591467626,0.12048026295469656,0.046717699211428515,0.045713087425609145,0.04169899146625279,0.0215038797452939
35,25,0.13134113728605326,0.1229326889921356,0.041070365839018574,0.039734515760732135,0.06401991384926538,0.032525886998973984,1,0.15193108501778277,0.13192024258455012,0.02037424266795346,0.017824483644010746,0.13170999490256044,0.1251461988304094
36,26,0.18372244264975784,0.1626802112352384,0.06393180190912132,0.05879161937636204,0.11453272181142088,0.080401027020418,0,0.1742133175180286,0.16329087267820153,0.06653601849703034,0.06418091333384905,0.06269580876729906,0.0353959436765276
37,26,0.18372244264975784,0.1626802112352384,0.06393180190912132,0.05879161937636204,0.11453272181142088,0.080401027020418,1,0.20911218974835621,0.16104972058705405,0.05697843872996202,0.044401987446498446,0.22984059044640162,0.2207229886214883
38,27,0.2129168056757615,0.19610516662556832,0.07323240870124408,0.06723366260357184,0.0789587228534446,0.08191381662925316,0,0.20792848653096507,0.1965311312991946,0.0784038300100571,0.07361839535212321,0.05481382287690122,0.061035725644015736
39,27,0.2129168056757615,0.19610516662556832,0.07323240870124408,0.06723366260357184,0.0789587228534446,0.08191381662925316,1,0.2301614096587195,0.19463260805539792,0.055354821098907415,0.045161661075633394,0.1543647202022409,0.18414222683623147
40,28,0.12664061425866974,0.12564646283037026,0.0454057512717735,0.0454057512717735,0.007850178508048566,0.0,0,0.12891091146011932,0.12814621768054318,0.04954392702832453,0.04954392702832453,0.005931955417231745,0.0
41,28,0.12664061425866974,0.12564646283037026,0.0454057512717735,0.0454057512717735,0.007850178508048566,0.0,1,0.11899482631189948,0.1172279194382853,0.031469419807834444,0.031469419807834444,0.014848602484471958,0.0
42,29,0.1260078632531138,0.12447591110838081,0.04027613533395789,0.03563804463010459,0.01215759163898953,0.11515729265967585,0,0.1301540213352511,0.12891545806864038,0.0417066203204283,0.03886991090335211,0.009516135221211771,0.06801580649024072
43,29,0.1260078632531138,0.12447591110838081,0.04027613533395789,0.03563804463010459,0.01215759163898953,0.11515729265967585,1,0.11222185320491532,0.10971438060445035,0.03551976087678512,0.02489206243772833,0.022343888724474733,0.29920523609163163
44,3,0.1623669760075781,0.15000320688345198,0.05968750154177089,0.05522746671008293,0.0761470677605591,0.07472309472640107,0,0.1704741301486109,0.1634818348045604,0.06126301207073708,0.057310559679076625,0.04101675332177941,0.06451612903225805
