,st,lower_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_chg,child_pct_chg_deep
3556,42.0,013,0.08522798410773594,0.073755095746617,0.030324671022022277,0.02948603230800361,0.13461409983153144,0.02765532768383977,0.10154030190435784,0.0730840029389241,0.03618246802136496,0.03464342288885057,0.28024634979160395,0.04253565930343996
3557,42.0,014,0.11378398500202828,0.10697215649250522,0.04117191357175798,0.03163713582149915,0.059866320461545115,0.231584517771825,0.14413507439746723,0.12501012420762123,0.04724126294879287,0.012011925050464653,0.1326876908330237,0.7457323470906151
3558,42.0,015,0.11641533051843768,0.10873139992063999,0.03986085727473024,0.03202083031725114,0.06600445631669381,0.196684855607691,0.1519204140607793,0.13015936000096295,0.04871345458902861,0.018903842700584494,0.1432398285269966,0.6119379571810931
3559,42.0,016,0.11996495378044941,0.11331275750143205,0.04260512623755022,0.030757628356231984,0.055451163605595176,0.27807681674878815,0.1680204298979893,0.14941028953317623,0.05745120766661967,0.011727878050664603,0.11076117574578218,0.795863681078392
3560,42.0,017,0.11399223289307238,0.10274727213159367,0.03845328800564241,0.034251252606218495,0.09864672772948287,0.10927636145984018,0.13255073360586986,0.10051723376416437,0.04264262000812482,0.030460628694492193,0.24166972879195686,0.2856764268075357
3561,42.0,018,0.11624171548822505,0.10666871234205208,0.03713847896458519,0.031450364906817595,0.08235428310710616,0.153159585862192,0.1365400226585429,0.1118743253731077,0.04667303008947448,0.029465026449834526,0.18064811185156154,0.3686926605504586
3562,42.0,019,0.2148589015562105,0.19827122268757302,0.10768928627824538,0.10283480588508927,0.07720266066936905,0.04507858266061125,0.2338389032777167,0.16297308171979005,0.08016461029595343,0.059820367379471856,0.30305402807061355,0.2537808496963218
3563,42.0,020,0.14999918933203987,0.13945669280275533,0.07066405749584288,0.06757439252522263,0.07028369004013453,0.043723288473804654,0.1346093446712989,0.09361079017917374,0.04326608254916832,0.032002004783026484,0.3045743562026773,0.26034429517257873
3564,42.0,021,0.128932468981455,0.12042455758673178,0.056892696267723114,0.054408802041155724,0.06598734563864557,0.04365928123495486,0.10937559496105934,0.07795055048123445,0.03253614221038301,0.02398269837081626,0.28731312950583765,0.26289053521646927
3565,42.0,022,0.2840740730085759,0.2520950624706922,0.08755965857601919,0.06570714291878954,0.11257278849561994,0.24957287422788796,0.3425213584392401,0.27753219705019766,0.1088961618565903,0.050473923577166666,0.18973754420797925,0.5364949258391881
3566,42.0,023,0.22285991741237005,0.20539411685600945,0.11550755449611876,0.11037474128332334,0.0783712062678488,0.04443703474795574,0.23983185547917785,0.16298721115716513,0.08523520972427001,0.06349511066506676,0.3204104982988148,0.2550600758715907
3567,42.0,024,0.1994268606402992,0.18495071787337442,0.09990509557583557,0.09418510191901837,0.07258873112902778,0.05725427340665816,0.2190318696060735,0.158437923115664,0.07978431798738937,0.05687326791793609,0.27664442895632985,0.28716232271452863
3568,42.0,025,0.12310187655272345,0.1168428934007125,0.039653319770923574,0.03371518801048697,0.05084392965634677,0.14975118841855029,0.1654874325546359,0.14816658662553583,0.05451181696154742,0.03497884052647746,0.10466562724260994,0.3583255434110461
3569,42.0,026,0.08482118646821993,0.07319995558539681,0.030190971853407123,0.028896666359342113,0.1370085867305954,0.04287061378313811,0.09257992000562916,0.06288623932486344,0.02215372859124912,0.019428583403680522,0.32073564849656655,0.12301067860175237
