Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
82,48,03000,Permian Basin Regional Planning Commission (Central)--Midland County--Midland City PUMA,48,
143,48,04602,Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA,48,
143,48,04606,"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA",48,
77,47,00100,"Northwest Tennessee--Gibson, Dyer, Obion, Crockett & Lake Counties PUMA",47,
28,53,11503,Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA,53,
196,42,03602,York County (North)--Weigelstown PUMA,42,
119,36,00402,Oneida County (Central)--Greater Utica & Rome Cities PUMA,36,
77,06,07315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,06,
77,06,07314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,06,
77,06,07312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,06,
77,06,07311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,06,
77,06,07308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,06,
77,06,07309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,06,
120,13,03700,Northeast Georgia Regional Commission (East) PUMA,13,
26,06,10703,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA",06,
26,06,10702,Tulare County (West Central)--Tulare & Porterville Cities PUMA,06,
26,06,10701,Tulare County (Northwest)--Visalia City PUMA,06,
26,06,00300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA",06,
56,06,02500,Imperial County--El Centro City PUMA,06,
56,06,06501,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA",06,
79,06,07320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,06,
79,06,07318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,06,
7,13,02800,Northwest Georgia Regional Commission (Northeast) PUMA,13,
8,13,03200,Georgia Mountains Regional Commission (North & Northwest) PUMA,13,
119,13,03600,Northeast Georgia Regional Commission (Central)--Clarke County--Athens City PUMA,13,
9,06,06711,"Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA",06,
9,06,06710,Sacramento County (Central)--Elk Grove City PUMA,06,
9,06,06709,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA",06,
12,21,00200,Pennyrile Area Development District (North) PUMA,21,
12,21,01400,Green River Area Development District (Southwest) PUMA,21,
02A,27,00200,"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties PUMA",27,
22,22,00600,Kisatchie Delta Regional Planning & Development District 1 PUMA,22,
22,22,00300,Coordinating & Development Corporation 4--Northwest Louisiana PUMA,22,
14,12,03102,Duval County (Northwest Central)--Jacksonville City (Northwest) PUMA,12,
14,12,03101,Duval County (Outer)--Jacksonville City (North & West) PUMA,12,
111,17,01205,"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA",17,
46,28,00700,North Central Region PUMA,28,
36,24,00700,Cecil County PUMA,24,
9,48,01200,"East Texas COG (Northeast)--Harrison, Upshur & Marion Counties PUMA",48,
8,48,03700,Heart of Texas COG (Outside McLennan County) & Navarro County PUMA,48,
8,48,01800,East Texas COG (Southwest)--Henderson & Anderson Counties PUMA,48,
60,41,00300,"Klamath, Malheur, Lake & Harney Counties PUMA",41,
53,41,00400,Deschutes County PUMA,41,
25,72,00402,Ponce & Jayuya Municipios PUMA,72,
63,37,01600,Alamance County--Burlington City PUMA,37,
36,47,01601,"Anderson, Union & Knox (North) Counties--Oak Ridge (East) & Clinton Cities PUMA",47,
36,47,00900,"Campbell, Claiborne, Scott, Morgan & Hancock Counties PUMA",47,
7,47,01200,"Greene, Carter, Unicoi & Johnson Counties PUMA",47,
7,47,01300,Washington County--Johnson City PUMA,47,
37,30,00600,East Montana (Outside Billings City) PUMA,30,
64,18,03200,"Warrick, Gibson & Posey Counties PUMA",18,
HD-017,45,00102,Greenville County (North)--Greer City (North & West) & Taylors (Central & East) PUMA,45,
26,16,01000,"Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA",16,
34,23,00900,Cumberland (Outside Portland) & York (East) Counties--Biddeford & Saco Cities PUMA,23,
33,32,00300,Rural Nevada PUMA,32,
108,42,01000,Northumberland & Montour Counties PUMA,42,
121,36,01500,Madison & Cortland Counties PUMA,36,
33,12,06902,Sumter (North) & Lake (North) Counties PUMA,12,
147,36,01207,Erie County (South) PUMA,36,
147,36,01300,Livingston & Wyoming Counties PUMA,36,
71,06,07319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA",06,
71,06,07313,San Diego County (Central)--El Cajon & Santee Cities PUMA,06,
71,06,07307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA",06,
71,06,07302,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA",06,
71,06,06515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA",06,
71,06,06506,Riverside County (Southwest)--Hemet City & East Hemet PUMA,06,
71,06,06502,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA",06,
170,13,00700,Southern Georgia Regional Commission (West) PUMA,13,
179,13,00100,Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA,13,
2,13,02600,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",13,
121,13,04100,Central Savannah River Area Regional Commission (East Central)--Columbia County PUMA,13,
112,13,03900,"Northeast Georgia Regional Commission (Southwest)--Walton, Morgan & Jasper Counties PUMA",13,
30,06,05303,Monterey (South & East) & San Benito Counties PUMA,06,
30,06,05301,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA",06,
30,06,05302,Monterey County (Northeast)--Salinas City PUMA,06,
84,21,01000,Kentucky River Area Development District PUMA,21,
37,01,01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",01,
35,22,00800,Imperial Calcasieu Regional Planning & Development District 1 (North) PUMA,22,
19,20,00602,"Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities PUMA",20,
66,39,05700,Clermont (East) & Brown Counties PUMA,39,
34,39,01803,Summit County (Central)--Akron City (East) PUMA,39,
34,39,01804,Summit County (Central)--Akron (West) & Cuyahoga Falls (West) Cities PUMA,39,
58,54,00400,"Berkeley, Jefferson, Mineral, Hampshire & Morgan Counties PUMA",54,
26,12,12702,"Volusia County (Northeast)--Daytona Beach, Ormond Beach & Holly Hill Cities PUMA",12,
13,05,00800,"White, Jackson, Prairie & Woodruff Counties PUMA",05,
9,28,00300,"North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties PUMA",28,
15,24,01003,"Montgomery County (Central)--Rockville, Gaithersburg Cities & North Potomac PUMA",24,
15,24,01001,"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown PUMA",24,
51,51,51244,Prince William County (North & West)--Linton Hall & Gainesville PUMA,51,
99,51,51125,"Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions PUMA",51,
96,48,02505,Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA,48,
96,48,02506,Tarrant County (South Central)--Fort Worth City (Southeast)--South of I-20 PUMA,48,
19,48,04200,Orange & Hardin Counties PUMA,48,
19,48,04100,Deep East Texas COG (East) PUMA,48,
44,48,05700,Alamo Area COG (Northeast)--Guadalupe County PUMA,48,
8,16,00300,Central Idaho--Lewiston City & Nez Perce Reservation PUMA,16,
14,72,00301,"Arecibo, Barceloneta & Florida Municipios--Carr 2 (Norte) PUMA",72,
75,05,01400,Sebastian & Crawford Counties PUMA,05,
