Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
8,53,10702,Benton County (East Central)--Kennewick & Richland (South) Cities PUMA,53,
22,53,11401,"Thurston County (Central)--Olympia, Lacey & Tumwater Cities PUMA",53,
26,53,11502,Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA,53,
38,53,11703,Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA,53,
39,53,11705,Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA,53,
39,53,11706,Snohomish County (North)--Marysville & Arlington Cities PUMA,53,
39,53,10200,"Skagit, Island & San Juan Counties PUMA",53,
18,53,11103,"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA",53,
18,53,11104,Clark County (North)--Battle Ground City & Orchards PUMA,53,
24,53,11300,Grays Harbor & Mason Counties PUMA,53,
24,53,11900,Clallam & Jefferson Counties PUMA,53,
12,72,00501,"Vega Baja, Manatí, Morovis & Ciales Municipios--Carr 137-Carr 149 PUMA",72,
38,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72,
23,72,00401,"Yauco, Peñuelas, Guayanilla, Adjuntas & Guánica Municipios--Carr 2 (Sur) PUMA",72,
18,72,00101,"San Sebastián, Aguada, Moca, Añasco & Rincón Municipios--Carr 2-Carr 111 PUMA",72,
29,72,00602,"Cayey, Cidra, Aguas Buenas & Aibonito Municipios--Carr 14-Carr 173 PUMA",72,
5,72,00803,Guaynabo & Cataño Municipios PUMA,72,
16,72,00102,"Aguadilla, Isabela & Quebradillas Municipios--Carr 2 (Noroeste) PUMA",72,
22,40,00702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",40,
36,40,01203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,40,
36,40,01601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",40,
63,40,00602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",40,
19,40,00300,Southeast Oklahoma PUMA,40,
59,40,00800,Canadian County--Oklahoma City (West) PUMA,40,
64,29,01702,St. Charles County (Northwest) PUMA,29,
65,29,01703,St. Charles County (Northeast) PUMA,29,
146,29,02200,"Cape Girardeau, Scott & Bollinger Counties PUMA",29,
149,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29,
42,29,00400,"Lincoln, Warren, Audrain, Pike & Montgomery Counties PUMA",29,
64,48,02005,Denton County (Central)--Denton (Central) & Corinth Cities PUMA,48,
64,48,02006,Denton County (North & West)--Denton City (Outer) PUMA,48,
20,48,05204,Capital Area COG--Williamson County (West)--Cedar Park & Leander Cities PUMA,48,
20,48,05201,Capital Area COG--Williamson County (North)--Georgetown (East) & Taylor Cities PUMA,48,
118,48,05907,Bexar County (South)--San Antonio City (Far South) PUMA,48,
21,48,04302,Jefferson County (Outside Beaumont City)--Port Arthur City PUMA,48,
12,48,03601,Brazos Valley COG (Outside Brazos County) & Milam County PUMA,48,
54,48,03501,Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities PUMA,48,
54,48,03400,"Central Texas COG (West), Burnet & Llano Counties PUMA",48,
83,48,00501,South Plains Association of Governments--Lubbock County--Lubbock City (Central) PUMA,48,
83,48,00502,South Plains Association of Governments--Lubbock County--Lubbock City (Outer) PUMA,48,
83,48,00400,South Plains Association of Governments (Outside Lubbock County) PUMA,48,
51,48,05304,Austin City (Southeast) PUMA,48,
10,48,02101,Ellis County PUMA,48,
22,48,04301,Jefferson County (North Central)--Beaumont City PUMA,48,
26,48,04902,Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA,48,
122,48,05911,"San Antonio City (North), Hollywood Park Town & Shavano Park City PUMA",48,
122,48,05915,Bexar County (North)--San Antonio City (Far North) & Timberwood Park PUMA,48,
12,34,01204,Ocean County (Northwest) PUMA,34,
12,34,01102,Monmouth County (Southwest)--Freehold Borough PUMA,34,
1,34,02600,Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City PUMA,34,
1,34,02400,Cumberland County (South)--Vineland & Millville Cities PUMA,34,
59,30,00500,South Central Montana--Bozeman City PUMA,30,
115,37,02201,Buncombe County (Southeast)--Asheville City PUMA,37,
115,37,02202,Buncombe County (Northwest) PUMA,37,
25,37,00900,Nash & Edgecombe Counties--Rocky Mount City PUMA,37,
54,37,01500,Chatham & Lee Counties PUMA,37,
8,37,04200,Pitt County--Greenville City PUMA,37,
22,37,03900,Sampson & Duplin Counties PUMA,37,
27,37,00600,"Halifax, Hertford, Northampton & Warren (East) Counties PUMA",37,
36,37,01205,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns PUMA,37,
81,37,03500,Davidson County PUMA,37,
3,37,04300,Craven County PUMA,37,
85,37,00100,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties PUMA",37,
94,37,00200,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties PUMA",37,
1,37,00800,South & West Albemarle Sound & Northern Outer Banks Regions PUMA,37,
120,37,02400,"Jackson (South), Macon, Cherokee & Clay Counties PUMA",37,
52,37,03700,Moore & Montgomery Counties PUMA,37,
119,37,02300,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37,
15,37,04500,Onslow County (South)--Jacksonville City PUMA,37,
16,37,04900,"Columbus, Bladen & Robeson (East) Counties PUMA",37,
16,37,04600,Pender & New Hanover (North) Counties PUMA,37,
20,12,08302,Marion County (Central)--Ocala City PUMA,12,
20,12,00101,Alachua County (Central)--Gainesville City (Central) PUMA,12,
21,12,00102,Alachua County (Outer) PUMA,12,
21,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12,
23,12,08303,Marion County (South Central) PUMA,12,
23,12,08301,Marion County (North) PUMA,12,
39,12,10503,Polk County (Central) PUMA,12,
39,12,10501,Polk County (Northwest) PUMA,12,
71,12,08102,Manatee County (West Central) PUMA,12,
76,12,07105,Lee County (Southeast)--Bonita Springs City & Estero (East) PUMA,12,
107,12,08605,Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA,12,
107,12,08603,Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA,12,
24,12,12701,"Volusia County (Central & Northwest)--DeLand, DeBary Cities & Pierson Town PUMA",12,
24,12,03500,Flagler & Volusia (North Central) Counties PUMA,12,
31,12,09501,Orange County (Northwest) PUMA,12,
31,12,06901,Lake County (North) PUMA,12,
35,12,05301,Hernando County PUMA,12,
1,12,03301,Escambia County (North) PUMA,12,
60,12,05702,Hillsborough County (Southwest)--Tampa City (South) PUMA,12,
9,12,07301,Leon County (Central)--Tallahassee City (Central) PUMA,12,
9,12,07300,Leon County (Outer) PUMA,12,
28,12,11703,Seminole County (South Central) PUMA,12,
28,12,11704,Seminole County (East) PUMA,12,
27,04,00120,Phoenix City--Ahwatukee & South Mountain PUMA,04,
27,04,00119,Phoenix City (South) PUMA,04,
27,04,00118,Phoenix City--Downtown & Sky Harbor International Airport PUMA,04,
4,04,00201,Pima County (West) PUMA,04,
4,04,00134,Maricopa County (West) & Gila River Indian Community (Northwest) PUMA,04,
4,04,00132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA",04,
1,04,00129,Phoenix (Far North) & Peoria (Northwest) Cities PUMA,04,
1,04,00500,Yavapai County PUMA,04,
11,04,00202,Tucson (West) & Marana Cities PUMA,04,
11,04,00203,Pima County (North Central)--Oro Valley Town PUMA,04,
11,04,00807,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities PUMA",04,
5,04,00600,Mohave & La Paz Counties--Lake Havasu City PUMA,04,
65,49,49004,"Utah County (East)--Spanish Fork, Springville, Lehi (Northeast) & Highland Cities PUMA",49,
84,01,02400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",01,
12,01,00700,Cullman & Winston Counties PUMA,01,
23,01,00400,DeKalb & Jackson Counties PUMA,01,
83,01,01900,Lee County--Auburn City PUMA,01,
51,01,01304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",01,
27,01,00500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,01,
90,01,02300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01,
37,55,01001,Dodge & Jefferson Counties PUMA,55,
61,55,10000,Kenosha County PUMA,55,
31B,24,01202,"Anne Arundel County (North)--Glen Burnie, Pasadena, Ferndale & Brooklyn Park PUMA",24,
35B,24,00601,"Harford County (North & West)--Bel Air Town, Fallston & Jarrettsville PUMA",24,
27A,24,01106,"Prince George's County (South)--Clinton, Fort Washington (South), Rosaryville & Croom PUMA",24,
9A,24,00901,Howard County (West)--Columbia (West) & Ellicott City (Northwest) PUMA,24,
28,24,01600,Charles County--La Plata Town & Waldorf PUMA,24,
1C,24,00200,Washington County--Hagerstown City PUMA,24,
49,39,03100,Stark County (West)--Massillon City PUMA,39,
49,39,03200,Stark County (Central)--Canton & North Canton Cities PUMA,39,
20,39,04109,"Franklin County (South)--Columbus (South), Grove Cities & Groveport Village PUMA",39,
25,39,04106,Columbus City (Northeast) PUMA,39,
84,39,02600,"Auglaize, Mercer & Van Wert Counties PUMA",39,
91,39,05200,"Highland, Clinton & Adams Counties PUMA",39,
54,39,05301,Warren County (East)--Lebanon & Springboro (East) Cities PUMA,39,
54,39,05302,"Warren County (West)--Mason, Franklin & Springboro (West) Cities PUMA",39,
10,39,00906,Cleveland City (Central) PUMA,39,
10,39,00908,Cleveland City (East) & Bratenahl Village PUMA,39,
36,39,01805,"Summit County (South)--Barberton, Green & New Franklin Cities PUMA",39,
36,39,01802,"Summit County (East Central)--Cuyahoga Falls (Southeast), Stow & Tallmadge Cities PUMA",39,
90,39,05100,Scioto & Lawrence Counties PUMA,39,
93,39,04900,"Jackson, Hocking, Pike & Vinton Counties PUMA",39,
88,39,00700,Erie & Sandusky Counties PUMA,39,
46,39,00300,"Lucas (West) & Wood (North Central) Counties--Perrysburg, Sylvania & Maumee Cities PUMA",39,
31,39,05504,Cincinnati City (Central) PUMA,39,
94,39,05000,"Athens, Gallia & Meigs Counties PUMA",39,
47,39,00200,"Wood (South), Fulton & Lucas (Southwest) Counties--Bowling Green City PUMA",39,
95,39,03500,Belmont & Jefferson Counties PUMA,39,
95,39,03300,Stark County (East) & Carroll County--Alliance City PUMA,39,
95,39,03600,"Washington, Morgan, Noble & Monroe Counties PUMA",39,
74,39,04700,Greene County PUMA,39,
74,39,04200,"Pickaway, Union & Madison Counties PUMA",39,
53,39,05403,"Butler County (North & West)--Middletown, Oxford & Trenton Cities PUMA",39,
142,23,00300,Penobscot County PUMA,23,
12A,27,00800,West Central Minnesota PUMA,27,
17,39,04110,Columbus City (West) PUMA,39,
24,51,51080,Central Shenandoah Planning District Commission (Southwest) PUMA,51,
55,40,00400,Southwest Oklahoma PUMA,40,
92,47,02700,"Maury, Bedford & Marshall Counties PUMA",47,
2,46,00300,Northeast South Dakota PUMA,46,
19,72,00202,"Mayagüez, Hormigueros, Las Marías & Maricao Municipios--Carr 2 (Suroeste) PUMA",72,
6,37,04400,"Carteret, Beaufort & Pamlico Counties PUMA",37,
Hillsborough County No. 12,33,00800,Manchester City PUMA,33,
68,01,02200,Southwest Alabama PUMA,01,
69,01,02100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",01,
59,01,01302,Birmingham City (East) PUMA,01,
18,01,00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",01,
41,01,01200,Shelby County PUMA,01,
16,01,01400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA",01,
5,55,01500,Outagamie County PUMA,55,
86,55,01600,Marathon County PUMA,55,
77,55,00101,Madison City (Central) PUMA,55,
92,55,00700,West Central Wisconsin--Northern Mississippi Region PUMA,55,
68,55,55103,Eau Claire & Chippewa (South) Counties PUMA,55,
94,55,00900,La Crosse County PUMA,55,
43,55,02400,Rock County PUMA,55,
67,55,55101,"Barron, Polk, Clark & Chippewa (North) Counties PUMA",55,
60,55,20000,Washington & Ozaukee Counties PUMA,55,
53,55,01501,Winnebago County PUMA,55,
6,35,00100,Northwest New Mexico--Navajo Nation PUMA,35,
50,35,00500,Santa Fe County PUMA,35,
53,35,01002,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35,
59,35,01100,Central Southeast New Mexico PUMA,35,
36,35,01001,Doña Ana County (Outer) PUMA,35,
55,35,01200,Far Southeast New Mexico PUMA,35,
3,35,00200,"San Juan County (Northeast)--Farmington, Bloomfield & Aztec Cities PUMA",35,
31,55,50000,Walworth County PUMA,55,
5,53,11616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA",53,
38,28,00600,"Golden Triangle Region--Starkville, Columbus & West Point Cities PUMA",28,
68,49,03001,Tooele & Box Elder Counties PUMA,49,
23,41,01200,Yamhill & Polk Counties PUMA,41,
3,05,02000,Southwest Arkansas PUMA,05,
89,37,02800,Catawba County--Hickory City PUMA,37,
34,12,01701,Citrus County PUMA,12,
38,39,01801,"Summit County (North & Northwest)--Hudson, Twinsburg & Macedonia Cities PUMA",39,
20,53,11402,Thurston County (Outer) PUMA,53,
78,47,00400,"Robertson, Dickson, Cheatham & Hickman Counties PUMA",47,
27,30,00400,North Central Montana--Great Falls City PUMA,30,
11,53,11610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA",53,
HD-064,45,00800,"Sumter, Clarendon, Williamsburg & Lee Counties--Sumter City PUMA",45,
29,13,03400,Georgia Mountains Regional Commission (South Central)--Hall County PUMA,13,
72,39,02900,"Holmes, Guernsey & Coshocton Counties PUMA",39,
22,54,00900,"Putnam, Boone & Lincoln Counties PUMA",54,
141,48,04607,Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA,48,
141,48,04625,"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA",48,
6,04,00400,Coconino County--Flagstaff City PUMA,04,
19,19,01500,Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities PUMA,19,
HD-001,45,00101,Pickens & Oconee Counties--Easley & Clemson Cities PUMA,45,
24,34,01700,Warren County PUMA,34,
24,34,01502,Morris County (West) PUMA,34,
24,34,01600,Sussex County PUMA,34,
39,08,00822,Douglas County (South)--Castle Rock Town PUMA,08,
61,40,00500,Panhandle & Northwest Oklahoma PUMA,40,
32,41,00500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA",41,
32,41,01321,"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA",41,
90,48,02513,Fort Worth City (South Central) & Edgecliff Village Town PUMA,48,
90,48,02508,"Fort Worth City (East Central)--South of I-30, East of I-35W & Inside Loop I-820 PUMA",48,
90,48,02512,Fort Worth City (North Central) & Haltom City (North)--Inside Loop I-820 PUMA,48,
50,47,02502,Nashville-Davidson (North) PUMA,47,
20,56,00500,"Sweetwater, Fremont, Uinta, Sublette & Hot Springs Counties--Wind River Reservation PUMA",56,
24,40,01501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",40,
7,41,01000,Douglas County PUMA,41,
7,41,00705,Lane County (Outside Eugene & Springfield Cities) PUMA,41,
128,09,00104,Bridgeport Town PUMA,09,
50,28,00800,South Delta Region PUMA,28,
54,28,00900,Central Region--Madison & Yazoo Counties PUMA,28,
77,28,01300,Central Region--Rankin & Simpson Counties PUMA,28,
88,28,01700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties PUMA",28,
95,28,02000,South Region--Harrison County--Gulfport & Biloxi Cities PUMA,28,
109,28,02100,South Region--Jackson County PUMA,28,
Rutland-1,50,00400,"Southwest Vermont--Rutland, Bennington & Addison Counties PUMA",50,
17A,27,01900,"Kandiyohi, McLeod, Meeker, Renville & Sibley Counties PUMA",27,
40,01,01100,Calhoun County PUMA,01,
15,51,51085,Northern Shenandoah Valley Regional Commission (South) PUMA,51,
37,42,03502,Lancaster County (Northwest)--Elizabethtown Borough PUMA,42,
80,06,07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA,06,
80,06,07321,San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA,06,
80,06,07317,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA,06,
47,55,00102,Dane County (East) PUMA,55,
29,17,03413,Cook County (Southeast)--Thornton Township PUMA,17,
37B,24,01300,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA",24,
150,48,04627,Harris County (Far North)--Spring PUMA,48,
42,08,00810,Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA,08,
28,72,00601,"Corozal, Naranjito, Barranquitas, Orocovis & Comerío Municipios--Carr 156-Carr 164 PUMA",72,
9,47,01000,Hawkins & Sullivan (Northwest) Counties--Kingsport City PUMA,47,
32,13,03500,Georgia Mountains Regional Commission (Southeast) PUMA,13,
70,21,02700,Buffalo Trace & Gateway Area Development Districts PUMA,21,
19,22,00500,North Delta Regional Planning & Development District 2--Northeast Louisiana PUMA,22,
27,39,05505,Cincinnati (East) & Norwood Cities PUMA,39,
27,39,05507,"Hamilton County (East)--Loveland, Montgomery Cities & Forestville PUMA",39,
133,36,00906,Monroe County (South) PUMA,36,
58,06,03764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA",06,
58,06,03753,Los Angeles County (South)--Downey City PUMA,06,
58,06,03741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA",06,
58,06,03740,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA,06,
75,06,07306,San Diego County (Northwest)--Escondido City (East) PUMA,06,
75,06,07305,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA,06,
75,06,06503,Riverside County (Southwest)--Temecula City PUMA,06,
14,21,01500,Green River Area Development District (Northeast)--Daviess & Hancock Counties PUMA,21,
71,39,03800,Licking County PUMA,39,
01B,27,00100,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties PUMA",27,
19,12,10700,Putnam & St. Johns (South) Counties PUMA,12,
19,12,01900,Clay County PUMA,12,
23,48,04701,"Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities PUMA",48,
125,13,04000,Central Savannah River Area Regional Commission (East Central)--Richmond County PUMA,13,
31,13,03800,Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA,13,
64,01,02600,Baldwin County PUMA,01,
10,06,04101,Marin County (North & West)--Novato & San Rafael (North) Cities PUMA,06,
10,06,09702,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA",06,
10,06,09703,Sonoma County (Central)--Santa Rosa City PUMA,06,
10,06,04102,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA",06,
95,22,01700,Capital Region Planning Commission 6--Livingston & St. Helena Parishes PUMA,22,
57,39,02100,Huron & Ashland Counties PUMA,39,
27,55,02500,Sheboygan County PUMA,55,
80,17,03108,Will County (South) PUMA,17,
80,17,03414,Cook County (South)--Bloom & Rich Townships PUMA,17,
13,08,00801,"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties PUMA",08,
13,08,00400,"Eagle, Summit, Grand & Jackson Counties PUMA",08,
91,37,00300,Rockingham & Stokes Counties PUMA,37,
7,37,00500,"Franklin, Vance & Warren (West) Counties PUMA",37,
27,12,12704,Volusia County (Southwest Central)--Deltona & Lake Helen Cities PUMA,12,
105,12,08621,"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA",12,
105,12,08608,"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA",12,
105,12,02103,Collier County (East) PUMA,12,
119,12,08619,Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South) PUMA,12,
119,12,08618,Miami-Dade County (North Central)--Tamiami Trail Region (South)--Tamiami PUMA,12,
3,48,04504,Houston-Galveston Area Council--Montgomery County (Southeast) PUMA,48,
3,48,04502,Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA,48,
56,48,03801,Heart of Texas COG--McLennan County--Waco City (Central) PUMA,48,
56,48,03802,"Heart of Texas COG--McLennan County--Waco (Outer), Hewitt & Robinson Cities PUMA",48,
62,48,00800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA",48,
89,48,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",48,
53,48,06100,Alamo Area COG (Southwest) PUMA,48,
28,48,04904,"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA",48,
18,48,04400,Houston-Galveston Area Council--Liberty & Chambers Counties PUMA,48,
State House Districts not defined,24,01203,"Anne Arundel County (Central)--Severna Park, Arnold & Lake Shore PUMA",24,
63,01,01600,Tuscaloosa & Northport (Southeast) Cities PUMA,01,
29,01,00900,Etowah County PUMA,01,
34,55,00600,"Oneida, Lincoln, Vilas, Langlade & Forest Counties PUMA",55,
25,24,01107,"Prince George's County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills PUMA",24,
25,24,01104,"Prince George's County (Central)--Seat Pleasant City, Capitol Heights Town & Landover PUMA",24,
5,24,00400,Carroll County PUMA,24,
92,39,04800,Ross & Fayette Counties PUMA,39,
24,39,04104,"Columbus (Northwest), Upper Arlington & Grandview Heights Cities PUMA",39,
24,39,04111,Columbus (Far West) & Hilliard (South) Cities PUMA,39,
14,06,01305,Contra Costa County (South)--San Ramon City & Danville Town PUMA,06,
14,06,01306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA",06,
14,06,01307,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA,06,
14,06,01303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA",06,
14,06,09501,Solano County (Southwest)--Vallejo & Benicia Cities PUMA,06,
56,22,01900,South Central Planning & Development Commission 1--River Parishes PUMA,22,
22,39,04102,"Columbus (North), Westerville & Worthington Cities PUMA",39,
58,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08,
47,08,00700,Pueblo County (North)--Pueblo City & Pueblo West PUMA,08,
33,51,10703,Loudoun County (West & South)--Leesburg Town PUMA,51,
2,48,00900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA",48,
18,41,01105,Marion County (Outside Salem & Keizer Cities)--Woodburn & Silverton Cities PUMA,41,
18,41,01317,Clackamas County (South & East)--Damascus City PUMA,41,
1,41,00800,"Josephine, Coos & Curry Counties PUMA",41,
50,37,01400,Orange County--Chapel Hill Town PUMA,37,
111,48,02316,Dallas City (South Central)--North of I-20 & West of I-35E PUMA,48,
67,35,00400,Eastern Plains New Mexico PUMA,35,
95,19,01000,Linn County--Cedar Rapids City PUMA,19,
6,02,00300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA",02,
67,37,03300,Stanley & Cabarrus (East) Counties PUMA,37,
117,48,05906,San Antonio City (Southwest)--Inside Loop I-410 PUMA,48,
117,48,05914,Bexar County (Northwest)--San Antonio (Far Northwest) & Helotes Cities PUMA,48,
127,36,00702,Onondaga County (North) PUMA,36,
130,13,01900,Three Rivers Regional Commission (East) PUMA,13,
80,21,02100,Bluegrass Area Development District (South) PUMA,21,
93,28,01900,"South Region--Pearl River, Hancock, George & Stone Counties PUMA",28,
21,24,01101,Prince George's County (Northwest)--College Park City & Langley Park PUMA,24,
21,24,01102,"Prince George's County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville PUMA",24,
31,41,01314,Portland City (Northwest & Southwest) PUMA,41,
23,16,00500,Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities PUMA,16,
49,05,00700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",05,
86,47,03204,Shelby County (North)--Bartlett (North & East) & Millington Cities PUMA,47,
9,29,00200,"Buchanan, Andrew & DeKalb Counties PUMA",29,
23,34,00800,Hunterdon County PUMA,34,
23,34,01003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA,34,
23,34,01001,Somerset County (North & West) PUMA,34,
43,42,03501,"Lancaster County--Lancaster City, East Lampeter, Lancaster & West Lampeter Townships PUMA",42,
5,34,02201,Gloucester County (Northeast)--Woodbury City PUMA,34,
5,34,02101,Camden County (North)--Camden & Gloucester Cities PUMA,34,
9,05,01800,Southeast Arkansas PUMA,05,
150,13,01300,Heart of Georgia Altamaha Regional Commission (North & West) PUMA,13,
137,13,01700,River Valley Regional Commission (West Central)--Muscogee & Chattahoochee Counties PUMA,13,
25,47,00800,"Cumberland, White, Fentress & Van Buren Counties PUMA",47,
31,47,02100,"Rhea, Marion, Sequatchie, Grundy, Bledsoe & Meigs Counties PUMA",47,
40,47,00600,"Warren, Macon, Smith, DeKalb, Cannon & Trousdale Counties PUMA",47,
45,17,03208,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA",17,
45,17,03207,Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA,17,
93,17,00300,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA",17,
69,17,02901,Winnebago (Northeast) & Boone Counties PUMA,17,
47,56,00400,"Natrona, Carbon & Converse Counties PUMA",56,
52,42,03900,Fayette County PUMA,42,
58,42,02002,Westmoreland County (Southwest)--Greensburg City PUMA,42,
104,42,02402,Dauphin County (Outer)--Hershey PUMA,42,
HD-049,45,00501,York County (West & Outside Rock Hill City) PUMA,45,
HD-060,45,00900,Florence & Darlington Counties--Florence City PUMA,45,
42,51,59304,Fairfax County (Southwest)--Centreville (Southeast) & Lorton PUMA,51,
13,53,10800,Grant & Kittitas Counties PUMA,53,
14,53,11000,"Lewis, Klickitat & Skamania Counties PUMA",53,
14,53,10902,Yakima County (Outer)--Sunnyside & Grandview Cities PUMA,53,
14,53,10901,Yakima County (Central)--Greater Yakima City PUMA,53,
48,40,00701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",40,
118,29,02002,Jefferson County (South) PUMA,29,
48,29,00700,"Pettis, Randolph, Saline, Cooper, Howard, Carroll & Chariton Counties PUMA",29,
39,29,00800,"Johnson, Lafayette, Ray, Clinton & Caldwell Counties PUMA",29,
116,29,02100,"St. Francois, Washington, Perry & Ste. Genevieve Counties PUMA",29,
6,48,01502,East Texas COG (Central)--Smith County (West)--Tyler City PUMA,48,
6,48,01501,East Texas COG (Central)--Smith County (Outside Tyler City) PUMA,48,
145,48,04618,Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA,48,
11B,27,00600,"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties PUMA",27,
64,51,51145,"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities PUMA",51,
35,37,01203,"Wake County (Northeast)--Raleigh City (Northeast), Wake Forest & Rolesville Towns PUMA",37,
HD-100,45,01203,Charleston (Northeast) & Berkeley (North & East) Counties--Mount Pleasant Town PUMA,45,
3,34,02500,Salem & Cumberland (North) Counties--Bridgeton City PUMA,34,
3,34,02202,Gloucester County (South & West)--Glassboro Borough PUMA,34,
65,35,00600,Sandoval County PUMA,35,
3rd Worcester,25,00301,"Worcester County (Northeast)--Leominster, Fitchburg & Gardner Cities PUMA",25,
7,53,10400,"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA",53,
51,12,00902,Brevard County (East)--Beaches & Merritt Island PUMA,12,
47,12,09504,"Orange County (South Central)--Orlando City (South Central), Conway & Pine Castle PUMA",12,
