,Assembly District Number,child,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
80,46,0,0.32488660972465044,0.29962989080318286,0.08705285426376644,0.08041008265911148,0.07774010428707198,0.07630733835018944
81,46,1,0.4237968625365594,0.3582690773730391,0.09723477798457857,0.06532837011433129,0.15462074157726327,0.3281378178835111
82,47,0,0.2137351925586928,0.20414856179886662,0.05158441687180928,0.04296842731343037,0.04485284171063054,0.1670269837456963
83,47,1,0.2780493126772856,0.24428322059786167,0.08536984507964215,0.051189177394719614,0.12143922153339082,0.40038338658146966
84,48,0,0.25156494865217427,0.24207676346731336,0.06887743935003196,0.06081412349743042,0.03771664230528289,0.11706759032698852
85,48,1,0.3245216741405082,0.2960089686098655,0.08456651718983557,0.0685949177877429,0.08786071255843939,0.1888643393725143
86,49,0,0.29715657407327456,0.2806152553154133,0.10190741812090388,0.09991566719338693,0.055665330001356095,0.019544709936168938
87,49,1,0.34160406965546153,0.2742485526211436,0.058858185196514964,0.05236622367243352,0.19717422307717827,0.11029836381135713
88,5,0,0.1370052167003083,0.1255637935981988,0.055757623323334865,0.05515428139769307,0.08351085730652874,0.010820797044075063
89,5,1,0.1648080346646065,0.11095529206274563,0.0428688992643848,0.03479056800241846,0.3267604198512178,0.18844270323212528
90,50,0,0.14320405838307318,0.14137934392070184,0.05759242850605155,0.05697315508125529,0.012742058311575221,0.010752688172043081
91,50,1,0.1108821913507574,0.10211129424691939,0.03996939015775842,0.0340534494937603,0.07910104406299773,0.14801178203240056
92,51,0,0.31031390999190156,0.29943648528787936,0.08551540627048707,0.0815409162778142,0.03505297169664767,0.04647688838782424
93,51,1,0.3731059844861541,0.33158836059643904,0.07578071620915558,0.06305011856436639,0.11127568470093996,0.1679925749138159
94,52,0,0.20808101324589784,0.18702975611879236,0.05660771540905596,0.051547289160996414,0.10116856314145468,0.08939463837203349
95,52,1,0.2807316035729477,0.23026208160193698,0.07336485292674148,0.051058469391093805,0.1797785547785548,0.30404727394358344
96,53,0,0.38401394636675007,0.3683581043271862,0.12604920583189339,0.11777239381883252,0.040768941304574056,0.06566334122008914
97,53,1,0.5052659947178354,0.4213119172101547,0.10886649059451302,0.08040748126987549,0.16615817883126024,0.26141202099217753
98,54,0,0.24341991011204736,0.23661926825371465,0.11580541411671541,0.11191883687490015,0.027937903087723343,0.033561274068742125
99,54,1,0.3117986385472892,0.2811381299501048,0.07922022517760095,0.057147626731957044,0.0983343248066628,0.27862327323811753
100,55,0,0.15430500882428524,0.14144554896925202,0.057717803272048375,0.05690430117957804,0.08333792890467304,0.014094474258418305
101,55,1,0.15525567204239407,0.11765043242871234,0.04248009910302585,0.03813287146429309,0.2422149163311293,0.10233562845956522
102,56,0,0.23701213413088376,0.22264898344965553,0.07079101638712106,0.0629608829978837,0.06060090861549121,0.11060913925035668
103,56,1,0.3174582673296789,0.2711259178781582,0.1264205822503669,0.05154932894701853,0.14594784329054747,0.5922394278731545
104,57,0,0.20588587667550043,0.19447066885833544,0.05862634123899573,0.05519027742501282,0.055444346166379596,0.05860955572812362
105,57,1,0.2577339407364066,0.19964057341079117,0.036945709867513686,0.03096919797718059,0.22540053188039183,0.16176470588235292
106,58,0,0.22902702236862266,0.22065794009499004,0.06300750727746285,0.055215355446606405,0.03654189879900916,0.12367021276595745
107,58,1,0.31229942297051616,0.28189075962374516,0.0753458224646273,0.05309461702632203,0.09737021944367105,0.29532102391942927
108,59,0,0.40752694499644654,0.39100913029111006,0.11559980625857239,0.1081240126203528,0.040531834540365186,0.06466960352422918
109,59,1,0.538705502696638,0.48628908181005226,0.1384922155755142,0.11161470570265332,0.09730069699344254,0.19407235100665754
110,6,0,0.09269358095578235,0.08850739707963022,0.03724639074712565,0.03724639074712565,0.04516152934202714,0.0
111,6,1,0.09140463931435726,0.0806644862536835,0.022764806839156763,0.022764806839156763,0.11750118091639103,0.0
112,60,0,0.16348064151322367,0.15259299365560364,0.04806982765772571,0.04571196527829326,0.06659900375262075,0.04905077663729674
113,60,1,0.2066391530593935,0.1702733417070399,0.041198636282074284,0.03359052574914768,0.17598703253444486,0.18466898954703825
114,61,0,0.1953846216274342,0.1786176588742762,0.06604121945974022,0.060181709727029624,0.08581516095534786,0.08872503840245778
115,61,1,0.2783566121522962,0.21308990032579594,0.07887917594056106,0.05650355364880703,0.23447156983930784,0.28366957470010906
116,62,0,0.17201516011723006,0.16472664221816452,0.05154746743183318,0.04733700572340458,0.04237136944266041,0.08168125260463184
117,62,1,0.2608260413845085,0.2300408663188515,0.05384461377206722,0.038687566981898694,0.11802952995891089,0.281496062992126
118,63,0,0.29961258622318815,0.27625437021638477,0.07171249488172855,0.0667044631326971,0.07796139775450994,0.06983485593815872
119,63,1,0.40142636146726446,0.31527657603328174,0.09350883172955068,0.07819642186038787,0.21460918789462227,0.16375362183381637
120,64,0,0.28398549417963975,0.257723748271924,0.08030293923183267,0.07501352407284967,0.09247565965852972,0.06586826347305401
121,64,1,0.42425438349213507,0.34984777583582344,0.12142696059085527,0.10400575069064667,0.17538205980066437,0.1434706906558328
122,65,0,0.18057593633973154,0.17286461359674607,0.06587124159190065,0.06543298634022396,0.04270404406751939,0.006653210734843331
123,65,1,0.26567405148443807,0.22988608843842498,0.07576708877273951,0.0702875920384217,0.13470627954085074,0.07232027550581153
124,66,0,0.16134745471561762,0.15507457558848964,0.049155323358330075,0.04885619172856618,0.03887807922464116,0.006085437127191693
125,66,1,0.18041899978736115,0.1512165979809435,0.03560181856843427,0.034518373009042216,0.16185879447749468,0.03043230944254836
126,67,0,0.1594625627089714,0.13954448090868002,0.055644298712272854,0.04959728698601102,0.12490757367698316,0.1086726199485395
127,67,1,0.17541691123157133,0.10967095950005179,0.04317922867106308,0.024016849083313193,0.37479825217494,0.4437869822485207
128,68,0,0.16990630846828217,0.16260021863728738,0.05626234577415859,0.054263308537050955,0.043000697836706146,0.035530641490348173
