,Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
47,52,0.22710420294418135,0.19834992192971748,0.060995487130719,0.051419294176106856,0.1266127206880941,0.15699838471802793
48,53,0.4109222006119456,0.3801096143402925,0.12223601771245254,0.10948037252608185,0.07498399021947949,0.10435259120087677
49,54,0.25420461227463015,0.24364078905411216,0.11003519324102543,0.10328031431104039,0.041556379036527306,0.061388349772684876
50,55,0.15891741604761284,0.137343933272514,0.05430991789391372,0.05323602241626482,0.13575279105114096,0.0197734689959685
51,56,0.2471000894945004,0.23263373653973846,0.07358180086030197,0.05677126937844626,0.05854450714427573,0.22846045197740114
52,57,0.2174373758084671,0.19562249871036347,0.053796000916247186,0.04979393749778853,0.10032717244214524,0.07439332571745076
53,58,0.2483839790679813,0.23489172016654478,0.0658755911935587,0.05472238248707367,0.05432016570498599,0.16930715162334029
54,59,0.4455050533475915,0.418594067844307,0.12222749310541677,0.1091346192501588,0.06040556734670304,0.10711889381520603
55,6,0.09238248328075052,0.0866144399083991,0.03375113003108074,0.03375113003108074,0.06243654822335025,0.0
56,60,0.1750214320444251,0.1573208025181053,0.04623243851882181,0.042470634900325,0.10113406866552735,0.081367190202726
57,61,0.2181180768324299,0.18806269149186897,0.06955868489276455,0.059173933537591324,0.13779410572949027,0.14929482021091867
58,62,0.1903735946986849,0.17822799355350735,0.05202231927666847,0.0455490473895113,0.06379876980524046,0.12443258926482297
59,63,0.32658419520869075,0.28659178943615177,0.0774865885479976,0.06974881166547428,0.12245664780864063,0.09985956315176142
60,64,0.3207633632923368,0.281878252128666,0.09108547185430464,0.08261515491958372,0.12122678464445369,0.09299306203594768
61,65,0.2003120301818285,0.1860891271664823,0.06816630263145454,0.06655887442203501,0.0710037385295117,0.023580979859068995
62,66,0.16566338911510692,0.15420150640577632,0.046088134132900097,0.04561151046166044,0.06918778355649001,0.010341570128772426
63,67,0.16407397649613592,0.13090989653190266,0.0520414191735326,0.04220356709459028,0.20212882428076157,0.18903888931502646
64,68,0.19467770765695108,0.18367927625579106,0.061472658957428955,0.05693466603436326,0.05649558716060482,0.07382132154407618
65,69,0.3146603992949207,0.28308809741095875,0.05805653135977797,0.05306534485129577,0.10033770361541512,0.0859711455641688
66,7,0.227550424421774,0.20940152636087533,0.0809010201697687,0.07267736157620124,0.07975769813225639,0.10165086393608304
67,70,0.26764007471437073,0.24577963974474554,0.07965604677700981,0.06656335499735828,0.08167848179296379,0.16436532202386822
68,71,0.21198777741720035,0.20353240185264027,0.07575599691557426,0.06634095607273607,0.03988614658627024,0.12428112923298619
69,72,0.2213959789777333,0.20271607381388215,0.06434548976477439,0.06320189976747638,0.08437328107810786,0.017772651999053726
70,73,0.10871521598446854,0.10058040770101925,0.0456969948228442,0.036169309173272934,0.0748267683579036,0.20849698511921225
71,74,0.17943252734085216,0.15471166046370838,0.08808984957630109,0.08425201419701098,0.1377724944495918,0.043567282697717404
72,75,0.2177598619020295,0.1914397581356774,0.06069270790639812,0.05605649287088515,0.12086756272004599,0.07638833717327402
73,76,0.20899899057470106,0.18178766582987468,0.05382802366035356,0.04358031884412411,0.130198354882008,0.19037861915367485
74,77,0.14265869147425006,0.13380845611787315,0.06991639510161639,0.06396169308042968,0.062037827943868265,0.0851688936841231
75,78,0.16631787407625648,0.16036156984002115,0.055483839614131114,0.055483839614131114,0.035812772796172086,0.0
76,79,0.19936745859252042,0.19006820055459792,0.04933822978340703,0.038857828074645884,0.04664381089859255,0.2124194920403451
77,8,0.1993773210729619,0.17931828249916162,0.07786591702306479,0.06968290572458878,0.10060842660464729,0.1050910541007577
78,80,0.34396910967059136,0.31505490144198967,0.10723558010318825,0.09726815716364598,0.08406047931540114,0.09294884151277999
79,9,0.13586357162854673,0.12246418268352952,0.046900295789563375,0.04617968911664821,0.09862385321100911,0.015364650921359899
