Senate District Number,STATEFIP,PUMA,PUMA Description
26,06,03731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA
26,06,03727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA
11,12,09506,Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast) PUMA
11,12,09502,"Orange County (West Central)--Winter Garden, Ocoee Cities & Oakland Town PUMA"
11,12,09501,Orange County (Northwest) PUMA
20,21,01800,KIPDA Area Development District (Northeast) PUMA
5,21,01300,Lincoln Trail Area Development District (West) PUMA
30,22,00800,Imperial Calcasieu Regional Planning & Development District 1 (North) PUMA
30,22,00700,Kisatchie Delta Regional Planning & Development District 2--Rapides & Vernon Parishes PUMA
State Senate Districts not defined,24,01203,"Anne Arundel County (Central)--Severna Park, Arnold & Lake Shore PUMA"
17,22,01400,Capital Region Planning Commission 1--Baton Rouge Metropolitan Area (West) PUMA
6,35,00300,North Central New Mexico PUMA
5,37,04200,Pitt County--Greenville City PUMA
49,36,01600,Fulton & Montgomery Counties PUMA
49,36,01801,Saratoga County (South & Central) PUMA
4,36,03309,Suffolk County (Central)--Islip Town (East) PUMA
4,36,03312,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA
4,36,03311,Suffolk County (Southwest)--Islip Town (South) PUMA
27,49,13001,Southeast Utah & Uintah Basin Region PUMA
27,49,49004,"Utah County (East)--Spanish Fork, Springville, Lehi (Northeast) & Highland Cities PUMA"
19,49,05001,"Cache, Summit, Morgan & Rich Counties PUMA"
19,49,57002,Weber County (East)--Ogden (Southeast) & South Ogden Cities PUMA
16,29,01500,"Phelps, Crawford, Dent, Gasconade & Maries Counties PUMA"
