,st,lower_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep
56,1.0,057,0.17286230145516107,0.1579265795370786,0.05978509857957301,0.04969675194117433,0.08640242431318478,0.15126420425734716
57,1.0,058,0.1711124654403362,0.14905248626742124,0.05512656485618229,0.050775514580418575,0.12892093580760708,0.11039006567978309
58,1.0,059,0.19051316069554283,0.168323249281469,0.061804729146569405,0.05593723128284832,0.11647442797684361,0.15709304784948386
59,1.0,060,0.19924647826347508,0.17476300178221751,0.06419394619475592,0.05633761479535777,0.12288034747034102,0.11227501350958113
60,1.0,061,0.12489298144813901,0.11232435906594256,0.05310782969594241,0.046333951474193925,0.10063513767117085,0.10489625226046245
61,1.0,062,0.14470235847917026,0.13199106316287854,0.06236340696399,0.05558313335318625,0.0878444238911386,0.18793515911471068
62,1.0,063,0.2384475230316746,0.225061047589173,0.10616415913617333,0.0993536202223051,0.056140132102455866,0.13928767018116386
63,1.0,064,0.13221848528491117,0.12072599565598807,0.048407705006208564,0.04475546611571481,0.08692044538370332,0.06620543149979442
64,1.0,065,0.19220873272694358,0.17750288787398927,0.0849379202717279,0.07519947368018422,0.07650976438123545,0.06827310764759914
65,1.0,066,0.1701547802215824,0.1566302471070422,0.07150847687336795,0.06400747622179005,0.0794837094610448,0.10825902997646174
66,1.0,067,0.21918713907520956,0.20242788362618824,0.09382604282402646,0.08917877179265601,0.07646094346471088,0.08551246798773345
67,1.0,068,0.19748585434338942,0.18237835131596547,0.08667648492394908,0.07793389969852488,0.0764991653587246,0.15649751082825167
68,1.0,069,0.16773991189580828,0.15469786652089554,0.06661727036341772,0.05496971159099732,0.07775159309141533,0.18756175709853318
69,1.0,070,0.2671279003133886,0.25353486039531914,0.11956455267665822,0.11274475440189838,0.05088588613215776,0.04610243385503371
70,1.0,071,0.21088783393337113,0.19610560061738355,0.09177143129831833,0.08594910913286996,0.07009523992103756,0.16787924866547158
71,1.0,072,0.21918713907520956,0.20242788362618824,0.09382604282402644,0.089178771792656,0.07646094346471088,0.07502062896623331
72,1.0,073,0.0976546903025041,0.09120279117522168,0.03908057268527028,0.03822813611098788,0.06606850226339796,0.05310061620273257
73,1.0,074,0.19088476650970723,0.1708083585276013,0.07269116918960486,0.059514654812192966,0.10517553783468091,0.13791818511829243
74,1.0,075,0.1651938943948576,0.15139222007616143,0.06278838058158923,0.05037254765639415,0.08354833191175015,0.14746373224022066
75,1.0,076,0.1908847665097072,0.17080835852760132,0.07269116918960487,0.05951465481219298,0.10517553783468063,0.0852535649389531
76,1.0,077,0.19088118430103546,0.1708056512368864,0.0726897883935358,0.05951338008179901,0.10517292805815932,0.13434570521520223
77,1.0,078,0.17985347716030586,0.1624713491669082,0.06843905481946505,0.05558916606864201,0.09664604914980175,0.03472802429733944
78,1.0,079,0.21086027150678768,0.19833281546324372,0.1136942709282018,0.10940844949695173,0.05941117287777324,0.07666861961506995
79,1.0,080,0.2224822458869382,0.20840440415804953,0.11059931053289658,0.102149853690614,0.06327624783167105,0.16118059772117369
80,1.0,081,0.1444691413683377,0.12948672918949236,0.046716503195164516,0.04184381176051205,0.10370666037701613,0.04992035183184579
81,1.0,082,0.21483532054644708,0.20050599977183028,0.10311894029921363,0.094669288918301,0.06669909183540802,0.14889383569884362
82,1.0,083,0.22313522356790355,0.20897027381276184,0.11042542096856771,0.10174203132742053,0.0634814599355762,0.12491471614800184
83,1.0,084,0.23723426984296553,0.22118848996319354,0.10667081022812248,0.092936360722922,0.06763685487089748,0.22469915545896407
84,1.0,085,0.17658981113618616,0.16556689177013703,0.06710371635246569,0.05725465294879825,0.06242103830978247,0.1849763327767785
85,1.0,086,0.17658981113618616,0.16556689177013703,0.06710371635246569,0.05725465294879825,0.06242103830978247,0.05403311173665738
86,1.0,087,0.17658981113618616,0.16556689177013703,0.06710371635246569,0.05725465294879826,0.06242103830978247,0.06897840603353171
87,1.0,088,0.14988497919177807,0.1398223513774443,0.05688741504034917,0.04492486403553747,0.06713566541887168,0.06534579656614814
88,1.0,089,0.2196417476833953,0.20505306358411912,0.09519268031087957,0.08258535342409014,0.06642036066979938,0.07637002919079554
89,1.0,090,0.16310750565766138,0.14359617385120815,0.06661284717090328,0.055574765065961304,0.11962252581683544,0.14370593837902318
90,1.0,091,0.1603691291841726,0.13945033650050515,0.06500339537015055,0.05387044592527977,0.1304415182029435,0.09115313044882932
91,1.0,092,0.16363592967811036,0.14335459659769825,0.0670487134190203,0.05605884247083768,0.12394180862545097,0.13014196483513465
92,1.0,093,0.1765898111361862,0.16556689177013706,0.06710371635246569,0.05725465294879826,0.06242103830978246,0.1390807004199688
