state_fip,puma,upper_leg_district,population,puma_pop,share_of_puma_pop
1,1500.0,024,12498.778119846154,109506.9999999996,0.11413679600250394
1,1600.0,005,148.3244680851064,118041.00000000003,0.0012565504196432287
1,1600.0,021,51623.74822039674,118041.00000000003,0.43733743547069853
1,1600.0,024,66268.92731151826,118041.00000000003,0.5614060141096588
1,1700.0,014,22493.00000000003,126186.00000000004,0.17825273802165076
1,1700.0,023,55682.93516240941,126186.00000000004,0.441276648458699
1,1700.0,024,48010.06483759075,126186.00000000004,0.3804706135196514
1,1800.0,013,33660.00000000003,129012.99999999974,0.2609039399130328
1,1800.0,014,32942.01663509807,129012.99999999974,0.2553387382286912
1,1800.0,027,31121.234665932196,129012.99999999974,0.24122557157753297
1,1800.0,030,31289.748698969626,129012.99999999974,0.2425317502807445
1,1900.0,013,57425.10748099699,161151.99999999997,0.35634126465074584
1,1900.0,027,103726.89251900344,161151.99999999997,0.6436587353492569
1,2000.0,025,83060.13349258147,196877.9999999999,0.4218863128058062
1,2000.0,026,113817.86650741888,196877.9999999999,0.578113687194196
1,2100.0,023,10079.000000000018,176665.9999999996,0.05705115868361791
1,2100.0,025,50234.52190251073,176665.9999999996,0.2843474234007157
1,2100.0,026,9722.551530743684,176665.9999999996,0.05503351822503315
1,2100.0,030,106629.92656674581,176665.9999999996,0.6035678996906368
1,2200.0,022,84620.03846153825,134995.9999999992,0.6268336725646593
1,2200.0,023,37450.961538461495,134995.9999999992,0.27742274984786003
1,2200.0,024,12925.000000000007,134995.9999999992,0.09574357758748468
1,2300.0,023,19828.000000000015,122533.99999999997,0.16181631220722428
1,2300.0,025,13844.000000000016,122533.99999999997,0.11298088693750322
1,2300.0,031,88862.00000000012,122533.99999999997,0.725202800855274
1,2400.0,027,16278.566287783722,145602.00000000026,0.11180180414955627
1,2400.0,028,95990.4337122161,145602.00000000026,0.6592659009643819
1,2400.0,031,33332.999999999985,145602.00000000026,0.22893229488605873
1,2500.0,028,40121.73931933189,197528.99999999892,0.20311822223234113
1,2500.0,029,140640.0243164731,197528.99999999892,0.7119968425723507
1,2500.0,031,16767.23636419501,197528.99999999892,0.08488493519531361
1,2600.0,022,51228.24400041131,212829.99999999983,0.2407002960128335
1,2600.0,032,161601.7559995882,212829.99999999983,0.7592997039871651
1,2701.0,033,97310.37175068345,105066.00000000028,0.9261832729016352
1,2701.0,034,7031.673349056604,105066.00000000028,0.06692624968169136
1,2701.0,035,723.9549002601909,105066.00000000028,0.0068904774166732245
1,2702.0,033,26564.680539340046,107381.00000000015,0.24738715917471443
1,2702.0,034,32126.791272740476,107381.00000000015,0.29918506321174543
1,2702.0,035,48689.52818791944,107381.00000000015,0.4534277776135384
1,2703.0,033,7892.387050866219,201666.99999999977,0.03913573887084267
1,2703.0,034,104346.86278916529,201666.99999999977,0.5174216048692419
1,2703.0,035,89427.75015996826,201666.99999999977,0.4434426562599154
2,101.0,00F,7436.56683594758,134513.9999999999,0.055284705205016466
