state_fip,puma,county_fip,population,puma_pop,share_of_puma_pop
1,1400.0,127,64110.00000000009,117115.9999999995,0.54740599064176
1,1500.0,107,20243.00000000003,109506.9999999996,0.18485576264531128
1,1500.0,125,89263.99999999981,109506.9999999996,0.8151442373546909
1,1600.0,125,118041.00000000003,118041.00000000003,1.0
1,1700.0,7,22493.00000000003,126186.00000000004,0.17825273802165076
1,1700.0,47,39148.999999999956,126186.00000000004,0.31024836352685675
1,1700.0,63,8324.000000000007,126186.00000000004,0.06596611351497
1,1700.0,65,14809.000000000004,126186.00000000004,0.11735850252801419
1,1700.0,91,19321.000000000022,126186.00000000004,0.1531152425784161
1,1700.0,105,9293.000000000005,126186.00000000004,0.07364525383164537
1,1700.0,119,12796.999999999978,126186.00000000004,0.10141378599844653
1,1800.0,17,33660.00000000003,129012.99999999974,0.2609039399130328
1,1800.0,21,44054.999999999956,129012.99999999974,0.3414772154744099
1,1800.0,37,10756.999999999995,129012.99999999974,0.08337919434475609
1,1800.0,123,40541.000000000044,129012.99999999974,0.3142396502678034
1,1900.0,81,161151.99999999997,161151.99999999997,1.0
1,2000.0,101,196877.9999999999,196877.9999999999,1.0
1,2100.0,1,55379.99999999999,176665.9999999996,0.3134728810297404
1,2100.0,51,81144.00000000012,176665.9999999996,0.4593073936128078
1,2100.0,85,10079.000000000018,176665.9999999996,0.05705115868361791
1,2100.0,101,30062.99999999997,176665.9999999996,0.17016856667383673
1,2200.0,23,12925.000000000007,134995.9999999992,0.09574357758748468
1,2200.0,25,24127.999999999993,134995.9999999992,0.1787312216658281
1,2200.0,35,12393.999999999989,134995.9999999992,0.09181012770748809
1,2200.0,53,37057.000000000015,134995.9999999992,0.2745044297608835
1,2200.0,99,21270.000000000022,134995.9999999992,0.1575602240066383
1,2200.0,129,16540.999999999985,134995.9999999992,0.12252955643130227
1,2200.0,131,10681.000000000013,134995.9999999992,0.07912086284038101
1,2300.0,13,19828.000000000015,122533.99999999997,0.16181631220722428
1,2300.0,31,51662.0,122533.99999999997,0.4216135929619535
1,2300.0,39,37199.99999999994,122533.99999999997,0.303589207893319
1,2300.0,41,13844.000000000016,122533.99999999997,0.11298088693750322
1,2400.0,5,25361.000000000004,145602.00000000026,0.1741802997211574
1,2400.0,11,10248.000000000011,145602.00000000026,0.07038364857625577
1,2400.0,87,18708.000000000033,145602.00000000026,0.12848724605431244
1,2400.0,109,33332.999999999985,145602.00000000026,0.22893229488605873
1,2400.0,113,57952.00000000002,145602.00000000026,0.3980165107622142
1,2500.0,45,49277.00000000006,197528.99999999892,0.24946716684638875
1,2500.0,61,26416.999999999956,197528.99999999892,0.13373732464600185
1,2500.0,67,17133.000000000004,197528.99999999892,0.08673663107695628
1,2500.0,69,104701.99999999996,197528.99999999892,0.5300588774306584
1,2600.0,3,212829.99999999983,212829.99999999983,1.0
1,2701.0,97,105066.00000000028,105066.00000000028,1.0
1,2702.0,97,107381.00000000015,107381.00000000015,1.0
1,2703.0,97,201666.99999999977,201666.99999999977,1.0
2,101.0,20,134513.9999999999,134513.9999999999,1.0
2,102.0,20,159016.9999999999,159016.9999999999,1.0
2,200.0,122,58464.0000000001,163832.99999999974,0.35685118382743525
2,200.0,170,105368.99999999981,163832.99999999974,0.6431488161725658
2,300.0,68,2245.999999999999,167053.00000000015,0.013444834872764913
2,300.0,90,99034.00000000019,167053.00000000015,0.592829820476137
2,300.0,100,2518.0000000000005,167053.00000000015,0.015073060645423898
2,300.0,110,32227.000000000007,167053.00000000015,0.19291482343926766
2,300.0,130,13799.999999999998,167053.00000000015,0.08260851346578622
2,300.0,230,1107.0000000000005,167053.00000000015,0.006626639449755464
2,300.0,240,6878.000000000002,167053.00000000015,0.041172562001281006
2,300.0,261,9243.000000000007,167053.00000000015,0.05532974564958426
2,400.0,13,3385.0000000000005,104363.00000000016,0.03243486676312482
2,400.0,16,5698.000000000003,104363.00000000016,0.05459789388959683
2,400.0,50,18134.000000000004,104363.00000000016,0.1737588992267372
2,400.0,60,874.9999999999998,104363.00000000016,0.008384197464618671
2,400.0,70,4961.0,104363.00000000016,0.04753600413939799
2,400.0,105,2139.000000000002,104363.00000000016,0.02049576957350784
