Senate District Number,STATEFIP_x,PUMA,PUMA Description_x,Assembly District Number,STATEFIP_y,PUMA Description_y,STATEFIP_y
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",137,36,Monroe County (Central)--Rochester City (East) PUMA,36
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",16,34,Middlesex County (Southwest) PUMA,34
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",137,36,Monroe County (Central)--Rochester City (East) PUMA,36
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
13,24,00902,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",16,34,Middlesex County (Southwest) PUMA,34
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",137,36,Monroe County (Central)--Rochester City (East) PUMA,36
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
34,09,00902,"Meriden, Wallingford & North Haven Towns PUMA",13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
16,34,01002,Somerset County (South) PUMA,16,34,Somerset County (South) PUMA,34
16,34,01002,Somerset County (South) PUMA,53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
16,34,01002,Somerset County (South) PUMA,58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
16,34,01002,Somerset County (South) PUMA,75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
16,34,01002,Somerset County (South) PUMA,29,29,Jackson County (North Central) PUMA,29
16,34,01002,Somerset County (South) PUMA,39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
16,34,01002,Somerset County (South) PUMA,82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
16,34,01002,Somerset County (South) PUMA,33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
16,34,01002,Somerset County (South) PUMA,85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
16,34,01002,Somerset County (South) PUMA,50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",16,34,Somerset County (South) PUMA,34
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",29,29,Jackson County (North Central) PUMA,29
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",16,34,Somerset County (South) PUMA,34
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",29,29,Jackson County (North Central) PUMA,29
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
11,29,01002,Jackson County (North Central) PUMA,16,34,Somerset County (South) PUMA,34
11,29,01002,Jackson County (North Central) PUMA,53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
11,29,01002,Jackson County (North Central) PUMA,58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
11,29,01002,Jackson County (North Central) PUMA,75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
11,29,01002,Jackson County (North Central) PUMA,29,29,Jackson County (North Central) PUMA,29
11,29,01002,Jackson County (North Central) PUMA,39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
11,29,01002,Jackson County (North Central) PUMA,82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
11,29,01002,Jackson County (North Central) PUMA,33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
11,29,01002,Jackson County (North Central) PUMA,85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
11,29,01002,Jackson County (North Central) PUMA,50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,16,34,Somerset County (South) PUMA,34
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,29,29,Jackson County (North Central) PUMA,29
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
