state_fip,puma,lower_leg_district,population,puma_pop,share_of_puma_pop
1,1303.0,054,440.10596424548936,172432.99999999942,0.002552330263032545
1,1303.0,056,316.1204095262409,172432.99999999942,0.0018332941462843074
1,1303.0,058,1280.6075139888083,172432.99999999942,0.007426696247173178
1,1304.0,014,5558.3361836925105,177685.00000000108,0.03128196630943792
1,1304.0,016,3895.880092559271,177685.00000000108,0.02192576803083686
1,1304.0,044,46753.29213120091,177685.00000000108,0.2631245863815214
1,1304.0,045,298.536855036855,177685.00000000108,0.001680146636108018
1,1304.0,051,45962.38538659515,177685.00000000108,0.25867341298699875
1,1304.0,057,3504.64818740238,177685.00000000108,0.019723939485057032
1,1304.0,058,28158.808076160254,177685.00000000108,0.15847600009094792
1,1304.0,059,21009.221636708768,177685.00000000108,0.11823857746410017
1,1304.0,060,22543.89145064404,177685.00000000108,0.12687560261498665
1,1305.0,015,36084.30951258314,112508.00000000015,0.3207266106639803
1,1305.0,016,7799.857629446489,112508.00000000015,0.0693271378874967
1,1305.0,056,42811.39556108149,112508.00000000015,0.3805186792146464
1,1305.0,057,25169.612348525672,112508.00000000015,0.22371397899283285
1,1305.0,060,642.8249483630383,112508.00000000015,0.00571359324104097
1,1400.0,013,38631.309112375486,117115.9999999995,0.3298550933465594
1,1400.0,014,25478.690887624478,117115.9999999995,0.2175508972951995
1,1400.0,016,23002.632674949877,117115.9999999995,0.19640896781780434
1,1400.0,017,30003.367325049985,117115.9999999995,0.2561850415404395
1,1500.0,016,8498.362387741077,109506.9999999996,0.07760565432110375
1,1500.0,061,42918.25252194286,109506.9999999996,0.3919224572122605
1,1500.0,062,37761.048012420135,109506.9999999996,0.3448277097575522
1,1500.0,063,10307.823853573589,109506.9999999996,0.09412936025618113
1,1500.0,070,345.69915966386554,109506.9999999996,0.003156868142345848
1,1500.0,071,9675.814064658356,109506.9999999996,0.08835795031055906
1,1600.0,061,4421.970886456154,118041.00000000003,0.03746131332720117
1,1600.0,062,9992.574309457408,118041.00000000003,0.08465341965467427
1,1600.0,063,37696.245502557824,118041.00000000003,0.3193487474907686
1,1600.0,070,51477.41254038664,118041.00000000003,0.43609773333322005
1,1600.0,071,14452.796761141963,118041.00000000003,0.12243878619413559
1,1700.0,049,15029.522340023532,126186.00000000004,0.11910610004298042
1,1700.0,067,40132.22765525901,126186.00000000004,0.3180402552997876
1,1700.0,068,8808.168041452878,126186.00000000004,0.06980305296509022
1,1700.0,071,19759.919775947244,126186.00000000004,0.1565935981483464
1,1700.0,072,42456.16218731745,126186.00000000004,0.33645699354379593
1,1800.0,033,6326.7268696302,129012.99999999974,0.04903945237790155
1,1800.0,037,15736.624903039863,129012.99999999974,0.12197704807298408
1,1800.0,038,17923.37509696016,129012.99999999974,0.13892689184004867
1,1800.0,042,29668.52627719106,129012.99999999974,0.2299654009843281
1,1800.0,049,8868.379873291618,129012.99999999974,0.06874020349338157
1,1800.0,081,45196.153498475185,129012.99999999974,0.35032247524261334
1,1800.0,082,5293.213481411927,129012.99999999974,0.04102852798874484
1,1900.0,038,33180.14311971857,161151.99999999997,0.2058934615749018
1,1900.0,079,53455.56479871085,161151.99999999997,0.33170897536928406
1,1900.0,080,25620.624993140555,161151.99999999997,0.15898421982439287
1,1900.0,082,22903.095303285947,161151.99999999997,0.14212107391336098
1,1900.0,083,25992.571785144122,161151.99999999997,0.16129226931806076
1,2000.0,069,8617.068564158471,196877.9999999999,0.043768570201639975
1,2000.0,074,47072.29927582244,196877.9999999999,0.23909374981370424
1,2000.0,075,25135.221207567007,196877.9999999999,0.12766901943115544
1,2000.0,076,42580.02251749844,196877.9999999999,0.2162761838168737
1,2000.0,077,43727.341961252205,196877.9999999999,0.22210374933335478
1,2000.0,078,29746.046473701364,196877.9999999999,0.15108872740327198
1,2100.0,031,47074.28112271899,176665.9999999996,0.2664592005406762
1,2100.0,042,16679.93503117224,176665.9999999996,0.09441508287487281
1,2100.0,069,23994.815474183448,176665.9999999996,0.13582022276036987
1,2100.0,075,26219.357059020676,176665.9999999996,0.14841201509640076
1,2100.0,077,3.051060487038492,176665.9999999996,1.7270218870855168e-05
1,2100.0,078,11635.565409637338,176665.9999999996,0.06586193953356823
1,2100.0,088,48173.40143998796,176665.9999999996,0.2726806597760071
1,2100.0,090,2885.5934027922017,176665.9999999996,0.016333609199235894
1,2200.0,064,6449.106903232689,134995.9999999992,0.047772577729952935
1,2200.0,065,43116.97483256305,134995.9999999992,0.3193944622993518
1,2200.0,066,32754.562761819816,134995.9999999992,0.2426335799714066
1,2200.0,068,32667.02228734956,134995.9999999992,0.2419851127985255
1,2200.0,069,10681.000000000013,134995.9999999992,0.07912086284038101
1,2200.0,090,5024.895976854847,134995.9999999992,0.037222554570912295
1,2200.0,092,4302.437238180201,134995.9999999992,0.03187084978947692
1,2300.0,090,36359.75229667584,122533.99999999997,0.2967319462082022
1,2300.0,091,46606.07924893976,122533.99999999997,0.3803522226397552
1,2300.0,092,39568.168454384446,122533.99999999997,0.32291583115204314
1,2400.0,080,22706.959270365594,145602.00000000026,0.15595224839195584
1,2400.0,082,18708.000000000033,145602.00000000026,0.12848724605431244
1,2400.0,083,25100.587819841705,145602.00000000026,0.1723917790953535
1,2400.0,084,45753.45290979268,145602.00000000026,0.3142364315723177
1,2400.0,089,33332.999999999985,145602.00000000026,0.22893229488605873
1,2500.0,085,45439.05383746404,197528.99999999892,0.23003738102994642
1,2500.0,086,46622.09864066154,197528.99999999892,0.2360266018694055
1,2500.0,087,47640.97129262639,197528.99999999892,0.2411846933494659
1,2500.0,089,12571.727560044377,197528.99999999892,0.0636449714221428
1,2500.0,093,45255.1486692036,197528.99999999892,0.22910635232904455
1,2600.0,064,43800.68160995064,212829.99999999983,0.2058012573882943
1,2600.0,066,13498.919926312876,212829.99999999983,0.06342583247809466
1,2600.0,094,55842.23442738834,212829.99999999983,0.2623795255715284
1,2600.0,095,53467.1555773564,212829.99999999983,0.2512200139893645
1,2600.0,096,46221.00845899159,212829.99999999983,0.21717337057271827
1,2701.0,096,1509.607120152575,105066.00000000028,0.014368179241168132
1,2701.0,097,41417.1544624371,105066.00000000028,0.39420130644011375
1,2701.0,098,16766.584535398746,105066.00000000028,0.15958144914052788
1,2701.0,099,20359.974941670513,105066.00000000028,0.1937827169747631
1,2701.0,103,25012.678940341088,105066.00000000028,0.23806634820342473
1,2702.0,098,5536.274578651688,107381.00000000015,0.051557301372232335
1,2702.0,099,20360.599728868485,107381.00000000015,0.1896108224813371
1,2702.0,100,7369.7997496874505,107381.00000000015,0.06863225104708878
1,2702.0,101,36747.365200913504,107381.00000000015,0.34221477915938064
1,2702.0,102,2041.9882501352756,107381.00000000015,0.019016290127073437
1,2702.0,103,15400.623902820262,107381.00000000015,0.14342038072676025
1,2702.0,104,19924.34858892335,107381.00000000015,0.18554817508612625
1,2703.0,096,6305.471333833562,201666.99999999977,0.03126674832190477
1,2703.0,097,878.7191547375597,201666.99999999977,0.004357277862702181
1,2703.0,098,22089.776494189282,201666.99999999977,0.10953590073829286
1,2703.0,099,4882.956234283908,201666.99999999977,0.02421296609898453
1,2703.0,100,43198.08370058907,201666.99999999977,0.2142050196640458
1,2703.0,101,7741.727548325452,201666.99999999977,0.03838866819224494
1,2703.0,102,44115.55133954916,201666.99999999977,0.2187544384532383
1,2703.0,104,28964.81482673798,201666.99999999977,0.14362694355912475
1,2703.0,105,43489.899367754304,201666.99999999977,0.21565203710946437
2,101.0,012,7436.56683594758,134513.9999999999,0.055284705205016466
2,101.0,013,19578.838052087645,134513.9999999999,0.14555241872286645
2,101.0,014,19092.087814092436,134513.9999999999,0.14193383450118538
2,101.0,015,17043.916858122724,134513.9999999999,0.12670738256332228
2,101.0,016,13397.221439749608,134513.9999999999,0.09959722734993842
2,101.0,017,4884.887729038251,134513.9999999999,0.03631508786474459
